month,hour,DEWP,TEMP,Iws,Is,Ir,pm2.5
1,0,-16,-4,1.79,0,0,129
1,1,-15,-4,2.68,0,0,148
1,2,-11,-5,3.57,0,0,159
1,3,-7,-5,5.36,1,0,181
1,4,-7,-5,6.25,2,0,138
1,5,-7,-6,7.14,3,0,109
1,6,-7,-6,8.93,4,0,105
1,7,-7,-5,10.72,0,0,124
1,8,-8,-6,12.51,0,0,120
1,9,-7,-5,14.3,0,0,132
1,10,-7,-5,17.43,1,0,140
1,11,-8,-5,20.56,0,0,152
1,12,-8,-5,23.69,0,0,148
1,13,-8,-5,27.71,0,0,164
1,14,-9,-5,31.73,0,0,158
1,15,-9,-5,35.75,0,0,154
1,16,-9,-5,37.54,0,0,159
1,17,-8,-5,39.33,0,0,164
1,18,-8,-5,42.46,0,0,170
1,19,-8,-5,44.25,0,0,149
1,20,-7,-5,46.04,0,0,154
1,21,-7,-5,49.17,1,0,164
1,22,-8,-6,52.3,2,0,156
1,23,-8,-6,55.43,3,0,126
1,0,-7,-6,58.56,4,0,90
1,1,-8,-6,61.69,5,0,63
1,2,-8,-7,65.71,6,0,65
1,3,-8,-7,68.84,7,0,55
1,4,-8,-7,72.86,8,0,65
1,5,-9,-8,76.88,9,0,83
1,6,-10,-8,80.9,10,0,91
1,7,-10,-9,84.92,11,0,86
1,8,-10,-9,89.84,12,0,82
1,9,-11,-9,93.86,13,0,86
1,10,-11,-9,97.88,15,0,78
1,11,-11,-9,102.8,16,0,98
1,12,-11,-9,105.93,17,0,107
1,13,-11,-9,111.74,19,0,90
1,14,-11,-9,116.66,20,0,96
1,15,-11,-9,121.58,21,0,95
1,16,-11,-9,124.71,22,0,86
1,17,-11,-9,127.84,23,0,70
1,18,-11,-9,0.89,24,0,61
1,19,-11,-9,1.78,25,0,53
1,20,-10,-9,4.02,26,0,71
1,21,-11,-10,7.15,27,0,72
1,22,-11,-9,11.17,0,0,76
1,23,-12,-11,14.3,0,0,73
1,0,-14,-12,16.09,0,0,79
1,1,-16,-9,21.9,0,0,58
1,2,-17,-10,29.95,0,0,25
1,3,-18,-11,39.78,0,0,26
1,4,-19,-11,48.72,0,0,28
1,5,-20,-12,55.87,0,0,26
1,6,-21,-12,64.81,0,0,20
